Datetime,Text,Username,
2020-04-08 18:22:32+00:00,?ëè?èª Wow. So important. Thank you. ?ëß?ëß?èΩ?ëß?èª?ëß?èæ?ëß?èø?ëß?èº?ë∂?èª?ë∂?èº?ë∂?èΩ?ë∂?èæ?ë∂?èø?ë©?ë©?èΩ?ë©?èº?ë©?èª?ë©?èæ?ë©?èø?ë©?çüéìüë©üèΩ‚Äçüéìüë©üèæ‚Äçüéìüë©üèø‚Äçüéìüë©üèª‚Äçüéìüë©üèº‚Äçüé?EmmaWatson,,
2020-04-04 11:24:46+00:00,@BreneBrown 's podcast #unlockingus helping me so much and keeping me company in these times. ?ôè Just love her so very much! X #COVID19Pandemic https://t.co/PDmDmJJchN,EmmaWatson,
2020-02-07 19:00:16+00:00,This made my cry. Thank you @britmarling x,EmmaWatson,
2019-11-07 18:34:27+00:00,My FULL @BritishVogue interview with @parislees: https://t.co/gR21lMsd1T @LittleWomen https://t.co/KxwcY3LFxN,EmmaWatson,
2019-11-05 11:34:36+00:00,Thank you @BritishVogue for letting me spend the day playing in Bushy Park! ?íö On newsstands in UK from Friday. @GoodOnYou_App @LittleWomen https://t.co/ALpjiPanxG,EmmaWatson,
2019-10-29 12:50:32+00:00,Introducing Meg March! X @LittleWomen https://t.co/SV7B2ONrbb,EmmaWatson,
2019-08-22 17:23:43+00:00,"Governments play a crucial role in either promoting or thwarting change. @Katja_Iversen, @phumzileunwomen, @GenderEQ &amp; I urge leaders of G7 countries to use their power to ditch discriminatory laws and push for progress for women &amp; girls: https://t.co/9P5Ks6tq9P #BeBraveG7",EmmaWatson,
2019-08-21 12:17:00+00:00,"@G7 @10DowningStreet @BorisJohnson Every week, two women in England and Wales are killed by their current or former partner. To date, 34 states in the Council of Europe have ratified the Istanbul Convention.?ìù??Let?ôs not drag our feet on this any longer, @10DowningStreet! Let?ôs be number 35!",EmmaWatson,
2019-08-21 12:12:53+00:00,@G7 @10DowningStreet @BorisJohnson ?ñÔ∏èThe Istanbul Convention makes govts responsible for combating violence against women &amp; domestic violence. ?åπI?ôll be proud to say my country is committed to preventing violence against women when the UK govt ratifies the Istanbul Convention &amp; fully complies w/ its requirements.,EmmaWatson,
2019-08-21 11:58:56+00:00,@G7 @10DowningStreet @BorisJohnson ?åé We're asking states to ratify all relevant gender equality standards: https://t.co/7qdNRAZQLf ?åç There are some incredible global treaties &amp; conventions that set minimum standards for women's &amp; girls??rights ?? but some G7 states haven?ôt yet stepped up &amp; made them a reality.,EmmaWatson,
2019-08-21 11:43:26+00:00,"?®üì?The @G7 #GenderEquality Advisory Council calls on all nations to: https://t.co/7qdNRAZQLf

??Ditch gender discriminatory laws
??Push progressives ones
??Invest in implementation &amp; women?ôs orgs
??Measure, treasure and move from words to action. NOW. #BeBraveG7 #G7Biarritz https://t.co/JwXD8YCVxB",EmmaWatson,
2019-08-19 12:12:45+00:00,"?íú I've put the entirety of my conversation with @DenisMukwege on my IGTV: https://t.co/fd92YjWaTc

?¶∏?èø?ç‚ôÇ #Spoiler, Dr. Denis Mukwege is my hero. Thank you again to @howtoacademy and @nytimes for facilitating a brilliant conversation. https://t.co/bFa3jnAjKA",EmmaWatson,
2019-07-31 08:04:44+00:00,Sexy and scary! ?ëª You smashed this. All the love to you @jk_rowling. Happy Birthday!!!! Extra points to @Evy_Lynch for being the most perfect cat. ?êØ https://t.co/GOC208aADO,EmmaWatson,
2019-05-10 15:26:28+00:00,.@TEATUMJONES joined @GoodOnYou_App to vocalise the work they?ôre doing to move towards being a sustainable brand ??I love their SS19 collection inspired by activists (incl. @MaraiLarasi ?íõ) working to End Violence Against Women &amp; Girls! Our @G7 collaboration fit like a glove ?ß§ https://t.co/5xsDXppLEB,EmmaWatson,
2019-04-15 08:48:59+00:00,My dear friend Paris Reid painted this for my 29th birthday today ?§Ô∏è thank you for all the birthday wishes! I?ôve had such a wonderful time already. xoxo https://t.co/HMSHmPLtWd,EmmaWatson,
2019-04-09 18:14:17+00:00,?ëä?èª?è≥Ô∏è‚Äçüå?EmmaWatson,,
2019-03-28 17:44:55+00:00,"Excited to give an update on @TRAID's #23percent campaign...?•Å drum roll ?•Å...In 6 months, Londoners have donated over 3/4 of a million garments to @TRAID to put back into use! 23% of London's clothes are unworn, but we're starting to fix it. Take action: https://t.co/RCWiOsMCTm https://t.co/XSJYaXWMvC",EmmaWatson,
2019-03-23 09:06:28+00:00,"In the wake of #CycloneIdai, my thoughts are with Mozambique, Zimbabwe &amp; Malawi, a beautiful country that welcomed me so warmly in 2016. As the full scale of the disaster unfolds, please show your solidarity by donating via @decappeal now: https://t.co/FGcp1SXCKN https://t.co/fb339Ve3on",EmmaWatson,
2019-03-08 11:29:45+00:00,"?äüè?Today I stand with @woman_kind  @ChimamandaReal @AmikaGeorge @AdwoaAboah_ @MissDumezweni @MeeraSyal @NimkoAli &amp; others to call on govts to do more to ensure the rights of women everywhere are respected, protected, valued &amp; realised. #IWD2019 #WK30

https://t.co/daW3t6DV25 https://t.co/q4VkUb2VBf",EmmaWatson,
2019-03-08 08:51:42+00:00,"?ìã?§‚úç?èª On #IWD2019, I encourage you to sign Fern Champion?ôs petition &amp; demand that Theresa May guarantees sustained?í∞funding for @RapeCrisisEandW support services, so the survivors of sexual violence can access the support they need.

?îó?íå https://t.co/oyGh5ZE278 https://t.co/CgF5oPfyGO",EmmaWatson,
2019-03-08 07:11:46+00:00,"Whether you?ôre ?•Åmarching, ?íÉ?èªdancing, ?åπrising, ?äüèªresisting, ?í•protesting, ?ö´striking, ?§Ô∏èuniting or ?éàcelebrating, wishing you all a wonderful #internationalwomensday! ?•∞ #IWD2019 #joyfulwarriors https://t.co/VTfNxgQK46",EmmaWatson,
2019-03-07 16:56:15+00:00,Really excited about our ?åº March &amp; April ?ìñ pick ?åº Fierce Femmes and Notorious Liars: A Dangerous Trans Girl?ôs Confabulous Memoir by @razorfemme. ?¶ã My @oursharedshelf letter: https://t.co/H08354eZnF ?¶ã https://t.co/sJMveDY0Qw,EmmaWatson,
2019-03-05 11:17:43+00:00,"?åª?®‚úå?èª So honoured to be working alongside Nobel Peace Laureates, and other ?ß† thought leaders, ?åà creatives and ?å±?í™?èª campaigners as part of the Gender Equality Council advising the G7 this year during the French Presidency. 

For full caption: https://t.co/5ubq4uSOre https://t.co/SH2phruBzw",EmmaWatson,
2019-02-27 15:20:21+00:00,?òç?òç?òç,EmmaWatson,
