Datetime,Text,Username,sentiment,user
2019-03-28 17:44:55+00:00,Excited to give an update on  23percent campaign  drum roll  In 6 months  Londoners have donated over 3 4 of a million garments to to put back into use  23  of London's clothes are unworn  but we're starting to fix it  Take action  https t co RCWiOsMCTm https t co XSJYaXWMvC,EmmaWatson,0.1779,2
2019-03-23 09:06:28+00:00,In the wake of  CycloneIdai  my thoughts are with Mozambique  Zimbabwe  amp  Malawi  a beautiful country that welcomed me so warmly in 2016  As the full scale of the disaster unfolds  please show your solidarity by donating via now  https t co FGcp1SXCKN https t co fb339Ve3on,EmmaWatson,0.8268,2
2019-03-08 11:29:45+00:00,  Today I stand with  amp  others to call on govts to do more to ensure the rights of women everywhere are respected  protected  valued  amp  realised   IWD2019  WK30 https t co daW3t6DV25 https t co q4VkUb2VBf,EmmaWatson,0.8952,2
2019-03-08 08:51:42+00:00,  On  IWD2019  I encourage you to sign Fern Champion s petition  amp  demand that Theresa May guarantees sustained funding for support services  so the survivors of sexual violence can access the support they need    https t co oyGh5ZE278 https t co CgF5oPfyGO,EmmaWatson,0.7906,2
2019-03-08 07:11:46+00:00,Whether you re  marching   dancing   rising   resisting   protesting   striking   uniting or  celebrating  wishing you all a wonderful  internationalwomensday     IWD2019  joyfulwarriors https t co VTfNxgQK46,EmmaWatson,0.7579,2
2019-03-07 16:56:15+00:00,Really excited about our   March  amp  April   pick   Fierce Femmes and Notorious Liars  A Dangerous Trans Girl s Confabulous Memoir by   My letter  https t co H08354eZnF   https t co sJMveDY0Qw,EmmaWatson,-0.7722,2
2019-03-05 11:17:43+00:00,  So honoured to be working alongside Nobel Peace Laureates  and other   thought leaders    creatives and   campaigners as part of the Gender Equality Council advising the G7 this year during the French Presidency  For full caption  https t co 5ubq4uSOre https t co SH2phruBzw,EmmaWatson,0.7902,2
2019-02-27 15:20:21+00:00, ,EmmaWatson,0,2
2019-02-17 22:46:27+00:00,Friends capture you best     https t co sRXQIQEUPn,EmmaWatson,0.8074,2
2019-02-06 20:34:01+00:00,  On International Day of Zero Tolerance for Female Genital Mutilation  shout out to student led charity for their tireless work to  EndFGM  amp  for making one of my favourite campaign videos ever   ZeroTolerance4FGM   Full video  https t co 2kwIhjr2fK https t co YiOS8BxO9f,EmmaWatson,0.6124,2
2019-01-30 11:12:09+00:00,Disgusted by the ugly prejudice and bigotry behind this violence  Sending love to  amp  to anyone that has been hurt by the hatred of those who fear difference  As a society  we continue to fail LGBTQIA  communities and PoC  https t co FFRPIbhOip,EmmaWatson,-0.9776,2
2019-01-09 02:41:52+00:00,Happy 3rd Birthday Thank you to everyone involved   you give me so much joy    xx https t co xNqgGkS5PH,EmmaWatson,0.8828,2
2018-12-21 10:42:33+00:00,  https t co wNDcIE42Qu,EmmaWatson,0,2
2018-12-19 17:09:49+00:00,  https t co cAQifjE8RM,EmmaWatson,0,2
2018-12-13 17:20:38+00:00, I could never love anyone as I love my sisters    Louisa May Alcott      From left  Meg March  Greta Gerwig  director  Jo March  Amy March  Beth March and Laurie  Theodore Laurence  https t co 0hngR0BJWX,EmmaWatson,-0.7741,2
2018-12-05 12:34:10+00:00, FrancescaWoodman   https t co SLLYm41yjy,EmmaWatson,0,2
2018-11-08 16:00:42+00:00,  Tom s is out on 14th November  Congrats dear friend  https t co P5LzXOkKBH,EmmaWatson,0.8481,2
2018-11-05 15:04:47+00:00,  Congrats  amp  Lisa Ranran Hu on being honoured for your work by  21Under21    Amika started a movement to end  periodpoverty in the UK  https t co lPjvcucHiv   Lisa Ranran Hu directed  Escape  a film following the life of a transgender teen in China  https t co 89f4UAHyfP,EmmaWatson,0.8074,2
2018-10-31 13:14:33+00:00, LornaSimpson   https t co TQsXXVCZzL,EmmaWatson,0,2
2018-10-30 16:54:28+00:00, And we hope that women s anger  put to use within progressive coalitions will in turn have the power to change the world      You can read  amp  powerful November  amp  December letter here  https t co mHfQgnn8N3 https t co qU6yoyfmlL,EmmaWatson,0.25,2
2018-10-30 12:06:55+00:00,   I am not free while any woman is unfree  even when her shackles are very different from my own    Audre Lorde https t co HQCD0exlaD,EmmaWatson,-0.4023,2
2018-10-28 15:13:11+00:00,  Our full interview  https t co p9xw3zcIEI If you ve already read book  amp  want to continue the conversation  her podcast  About Race with Reni Eddo Lodge' is available now   https t co 5fcOrBAszC  blackhistorymonth     oursharedshelf https t co 8TZqM6DsKU,EmmaWatson,0.0772,2
2018-10-22 22:37:46+00:00, WontBeErased   Thank you for these beautiful drawings   ProtectTransKids  TransRightsAreHumanRights,EmmaWatson,0.7506,2
2018-10-18 08:59:46+00:00,  https t co r1wjHu6QRG,EmmaWatson,0,2
2018-10-15 10:59:08+00:00,  Our full interview  https t co p9xw3zcIEI If you ve already read book  amp  want to continue the conversation  her podcast  About Race with Reni Eddo Lodge' is available to listen now  https t co gJhA8MBfBq  blackhistorymonth  oursharedshelf https t co TChvyeNLZJ,EmmaWatson,0.0772,2
2018-10-14 14:01:26+00:00,    https t co tFIVs69bfo,EmmaWatson,0,2
2018-10-11 10:26:56+00:00, DayOfTheGirl  I encourage you to check out   focused on supporting the organising of young feminist activists all over the world   because their work is critical to expanding  amp  sustaining social justice movements  now  amp  in the future    https t co v7dwB8ICUq https t co bcT5tl6CbF,EmmaWatson,0.872,2
