word,frequency
oursharedshelf,3
justice,3
movements,3
USA,3
through,3
P,3
information,3
death,3
Don,3
anything,3
9,3
short,3
Pride,3
After,3
everybody,3
choose,3
needs,3
research,3
meaningful,3
report,3
congratulations,3
girl,3
Eve,3
written,3
Do,3
missed,3
adore,3
bio,3
guest,3
Golden,3
Globes,3
bid,3
red,3
carpet,3
moving,3
iTunes,3
courage,3
together,3
signed,3
education,3
turned,3
weekend,3
affected,3
AWESOME,3
launched,3
Thursday,3
Will,3
July,3
club,3
four,3
created,3
less,3
surprise,3
InternationalWomensDay,3
talked,3
News,3
worked,3
link,3
special,3
sexist,3
later,3
poster,3
eyes,3
Proud,3
answers,3
generous,3
RT,3
shot,3
month,3
learn,3
VERY,3
Inspired,3
music,3
whole,3
bloody,3
Empire,3
State,3
Building,3
emotional,3
forward,3
laugh,3
reveal,3
22,3
U,3
'Our,3
Shared,3
Shelf',3
Who,3
running,3
Thought,3
Xxx,3
name,3
business,3
But,3
included,3
heard,3
buy,3
you've,3
Malala,3
played,3
trying,3
wow,3
took,3
personal,3
exactly,3
try,3
Beautiful,3
Hey,3
Come,3
magazine,3
job,3
recommend,3
which,3
Regression,3
Madrid,3
goodness,3
xxxx,3
award,3
2020,3
reach,3
comes,3
Iceland,3
reading,3
Joni,3
Eddie,3
little,3
isn't,3
speak,3
actually,3
commitments,3
ask,3
stories,3
taking,3
L,3
actor,3
sad,3
that's,3
section,3
noah,3
LOVE,3
soundtrack,3
Darren,3
gave,3
myself,3
warm,3
funny,3
You've,3
something,3
exclusive,3
7th,3
Green,3
looking,3
fashion,3
close,3
Yay,3
bad,3
Ezra,3
Like,3
nominated,3
won,3
seems,3
Actually,3
late,3
perky,3
message,3
often,3
hour,3
PerksOfBeingAWallflower,3
Tr,3
sor,3
Rose,3
Part,3
Had,3
2010,3
status,3
Oh,3
Renais,2
Chablis,2
Join,2
assume,2
means,2
pandemic,2
ones,2
spread,2
promise,2
Fans,2
career,2
revealed,2
Trans,2
deserve,2
told,2
racism,2
white,2
colour,2
workers,2
during,2
grassroots,2
critical,2
increased,2
consider,2
risk,2
advice,2
does,2
NOT,2
apply,2
services,2
